,T-1,T-2,T-3,T-4,T-24,T-48,T-72,T-96,DAY,SEASON,TEMP,HUMIDITY,T
5359,1404.0973794605557,1235.7870742858577,653.7695055201029,623.3616215424238,3558.431700194166,3313.1360667500508,6193.579861007283,5588.358007572528,0.0,0.0,82.0,87.0,2134.9535382223194
5360,2134.9535382223194,1404.0973794605557,1235.7870742858577,653.7695055201029,5106.846151017573,3843.2908381847706,5306.995014137003,5524.050425189111,0.0,0.0,82.0,87.0,2090.9421272019936
5361,2090.9421272019936,2134.9535382223194,1404.0973794605557,1235.7870742858577,5704.6375064878575,3659.9965614737944,4924.359009982923,5605.526095177151,0.0,0.0,83.0,78.0,2150.9576876842557
5362,2150.9576876842557,2090.9421272019936,2134.9535382223194,1404.0973794605557,6064.810543718575,3640.1212784569416,4749.750968071905,5153.336126743528,0.0,0.0,83.0,78.0,2254.584555450294
5363,2254.584555450294,2150.9576876842557,2090.9421272019936,2134.9535382223194,5807.116024568478,6306.206464769449,4967.937408301356,5475.165023196286,0.0,0.0,83.0,78.0,3241.9072093395885
5364,3241.9072093395885,2254.584555450294,2150.9576876842557,2090.9421272019936,5960.833801689408,6301.789735210148,4967.937408301356,5019.483240334605,0.0,0.0,80.0,91.0,2168.962355828934
5365,2168.962355828934,3241.9072093395885,2254.584555450294,2150.9576876842557,5926.973940452243,6025.302464797928,4586.331974377781,4868.898743124568,0.0,0.0,80.0,91.0,1950.5057156735015
5366,1950.5057156735015,2168.962355828934,3241.9072093395885,2254.584555450294,5533.5403315637805,5908.848028751035,4142.450653668067,4751.77746751676,0.0,0.0,80.0,91.0,1950.5057156735015
5367,1950.5057156735015,1950.5057156735015,2168.962355828934,3241.9072093395885,5348.659496313071,5618.668896704983,4583.976385279487,4624.326240892611,0.0,0.0,78.0,91.0,2059.7340357512176
5368,2059.7340357512176,1950.5057156735015,1950.5057156735015,2168.962355828934,5639.614587120914,5362.498582265545,4435.574272086986,4596.100740932469,0.0,0.0,78.0,91.0,2893.016751069374
5369,2893.016751069374,2059.7340357512176,1950.5057156735015,1950.5057156735015,4933.351817775821,5020.938163012964,3717.7084943819896,4326.358076364923,0.0,0.0,78.0,91.0,1902.8933710242409
5370,1902.8933710242409,2893.016751069374,2059.7340357512176,1950.5057156735015,972.3473426070542,4846.919018376519,947.3884904699866,1047.544328417657,0.0,0.0,78.0,91.0,959.98223189182
5371,959.98223189182,1902.8933710242409,2893.016751069374,2059.7340357512176,964.1071108900451,1086.22102295067,981.8389810325315,1038.8147923475096,0.0,0.0,78.0,91.0,951.8467892486688
5372,951.8467892486688,959.98223189182,1902.8933710242409,2893.016751069374,929.0486704940434,1016.2894715950764,981.8389810325315,927.0767306496263,0.0,0.0,78.0,91.0,866.3579575394917
5373,866.3579575394917,951.8467892486688,959.98223189182,1902.8933710242409,799.4522989447212,990.5252158324895,880.4014254872602,800.0619808289854,0.0,0.0,77.0,93.0,866.3579575394917
5374,866.3579575394917,866.3579575394917,951.8467892486688,959.98223189182,747.3141055352828,914.2630187752318,846.5398321992888,691.9612258269966,0.0,0.0,77.0,93.0,789.0045684734657
5375,789.0045684734657,866.3579575394917,866.3579575394917,951.8467892486688,712.5553099289906,846.5398321992888,846.5398321992888,675.0841227580455,0.0,0.0,77.0,93.0,758.0632128470553
5376,758.0632128470553,789.0045684734657,866.3579575394917,866.3579575394917,634.2977903414136,2241.942316605848,1608.4256811786486,1912.7383478144623,0.0,0.0,78.0,90.0,1661.7295447815804
5377,1661.7295447815804,758.0632128470553,789.0045684734657,866.3579575394917,634.2977903414136,2394.910981752505,1608.4256811786486,1912.7383478144623,0.0,0.0,78.0,90.0,1661.7295447815804
5378,1661.7295447815804,1661.7295447815804,758.0632128470553,789.0045684734657,623.3616215424238,2687.8137636934594,1608.4256811786486,2248.9986915958843,0.0,0.0,78.0,90.0,1661.7295447815804
5379,1661.7295447815804,1661.7295447815804,1661.7295447815804,758.0632128470553,623.3616215424238,3064.31744196334,1594.4393709075298,2567.8865657773904,0.0,0.0,80.0,85.0,1661.7295447815804
5380,1661.7295447815804,1661.7295447815804,1661.7295447815804,1661.7295447815804,653.7695055201029,3378.4950039736627,1829.9982807368972,2718.938716705472,0.0,0.0,80.0,85.0,1647.5267281595159
5381,1647.5267281595159,1661.7295447815804,1661.7295447815804,1661.7295447815804,1235.7870742858577,4614.529761525003,2226.0316978875207,4320.739303545169,0.0,0.0,80.0,85.0,1877.7543856031862
5382,1877.7543856031862,1647.5267281595159,1661.7295447815804,1661.7295447815804,1404.0973794605557,5185.05344113173,3083.318905347774,5298.60322797433,0.0,0.0,82.0,80.0,2664.164341966914
5383,2664.164341966914,1877.7543856031862,1647.5267281595159,1661.7295447815804,2134.9535382223194,3558.431700194166,3313.1360667500508,6193.579861007283,0.0,0.0,82.0,80.0,2567.8692452693144
5384,2567.8692452693144,2664.164341966914,1877.7543856031862,1647.5267281595159,2090.9421272019936,5106.846151017573,3843.2908381847706,5306.995014137003,0.0,0.0,82.0,80.0,2596.9850193445473
5385,2596.9850193445473,2567.8692452693144,2664.164341966914,1877.7543856031862,2150.9576876842557,5704.6375064878575,3659.9965614737944,4924.359009982923,0.0,0.0,82.0,80.0,2760.3174104982922
5386,2760.3174104982922,2596.9850193445473,2567.8692452693144,2664.164341966914,2254.584555450294,6064.810543718575,3640.1212784569416,4749.750968071905,0.0,0.0,82.0,80.0,2841.9836060751645
5387,2841.9836060751645,2760.3174104982922,2596.9850193445473,2567.8692452693144,3241.9072093395885,5807.116024568478,6306.206464769449,4967.937408301356,0.0,0.0,82.0,80.0,2701.943834181606
5388,2701.943834181606,2841.9836060751645,2760.3174104982922,2596.9850193445473,2168.962355828934,5960.833801689408,6301.789735210148,4967.937408301356,0.0,0.0,81.0,87.0,2537.1911613656544
5389,2537.1911613656544,2701.943834181606,2841.9836060751645,2760.3174104982922,1950.5057156735015,5926.973940452243,6025.302464797928,4586.331974377781,0.0,0.0,81.0,87.0,2619.56749777363
5390,2619.56749777363,2537.1911613656544,2701.943834181606,2841.9836060751645,1950.5057156735015,5533.5403315637805,5908.848028751035,4142.450653668067,0.0,0.0,81.0,87.0,2708.619157993976
5391,2708.619157993976,2619.56749777363,2537.1911613656544,2701.943834181606,2059.7340357512176,5348.659496313071,5618.668896704983,4583.976385279487,0.0,0.0,81.0,87.0,2701.943834181606
5392,2701.943834181606,2708.619157993976,2619.56749777363,2537.1911613656544,2893.016751069374,5639.614587120914,5362.498582265545,4435.574272086986,0.0,0.0,81.0,87.0,2559.0634989636337
5393,2559.0634989636337,2701.943834181606,2708.619157993976,2619.56749777363,1902.8933710242409,4933.351817775821,5020.938163012964,3717.7084943819896,0.0,0.0,81.0,87.0,2264.7811385544514
5394,2264.7811385544514,2559.0634989636337,2701.943834181606,2708.619157993976,959.98223189182,972.3473426070542,4846.919018376519,947.3884904699866,0.0,0.0,78.0,91.0,997.0377268689483
5395,997.0377268689483,2264.7811385544514,2559.0634989636337,2701.943834181606,951.8467892486688,964.1071108900451,1086.22102295067,981.8389810325315,0.0,0.0,78.0,91.0,997.0377268689483
5396,997.0377268689483,997.0377268689483,2264.7811385544514,2559.0634989636337,866.3579575394917,929.0486704940434,1016.2894715950764,981.8389810325315,0.0,0.0,78.0,91.0,947.1858405255009
